Crash Severity Description,Reportnumber,CollisionImpact Description,Crash County Description,Large Vehicle Involved,Motorcycle Crash,Non-Motorist Crash,Person ID Contribs,PersonID NM,PersonID NMSafetyEquip,PersonID Occ,RoadName,Unrestrained Occupants,VehicleID Damage,VehicleID Sequence,VehicleID,Work Zone Crash,CrashPoint,Latitude (generated),Longitude (generated)
,ZP05430003,,,,,,,,,,,,,,,Unknown,Point,38.816931920,-76.749498997
,ZP05350003,,,,,,,,,,,,,,,Unknown,Point,38.816394402,-76.748682816
,ZP05350002,,,,,,,,,,,,,,,Unknown,Point,38.811011727,-76.713298307
,ZP05190004,,,,,,,,,,,,,,,Unknown,Point,38.882856327,-76.844153272
,ZP05190003,,,,,,,,,,,,,,,Unknown,Point,38.677091893,-76.874408596
,ZP05110005,,,,,,,,,,,,,,,Unknown,Point,38.823685482,-76.739660513
,ZP04920005,,,,,,,,,,,,,,,Unknown,Point,38.906991908,-76.854673116
,ZP04880004,,,,,,,,,,,,,,,Unknown,Point,38.988724240,-76.983639424
,ZP04530005,,,,,,,,,,,,,,,Unknown,Point,38.817037120,-76.779631324
,ZP03330002,,,,,,,,,,,,,,,Unknown,Point,38.886699711,-76.719518984
,ZP0515000D,,,,,,,,,,,,,,,Unknown,Point,38.884477780,-76.814847427
,ZP0383000J,,,,,,,,,,,,,,,Unknown,Point,38.821150085,-76.889722826
,ZP0375000C,,,,,,,,,,,,,,,Unknown,Point,38.917226262,-76.849072971
,ZP0375000B,,,,,,,,,,,,,,,Unknown,Point,38.815847315,-76.749938629
,ZH036100JH,,,,,,,,,,,,,,,Unknown,Point,38.653659065,-76.831798468
,RD01380003,,,,,,,,,,,,,,,Unknown,Point,38.964804605,-76.938958643
,RD01380001,,,,,,,,,,,,,,,Unknown,Point,38.962472903,-76.929241571
,RD01350009,,,,,,,,,,,,,,,Unknown,Point,38.959019417,-76.919498656
,RD01350008,,,,,,,,,,,,,,,Unknown,Point,38.960524881,-76.925894869
,RD01350007,,,,,,,,,,,,,,,Unknown,Point,38.960507754,-76.919694611
,RD01350006,,,,,,,,,,,,,,,Unknown,Point,38.958883864,-76.919993570
,RD01340011,,,,,,,,,,,,,,,Unknown,Point,38.958983883,-76.919778417
,RD01340010,,,,,,,,,,,,,,,Unknown,Point,38.959682552,-76.939769216
,RD01330018,,,,,,,,,,,,,,,Unknown,Point,38.954969413,-76.923282126
,RD01330016,,,,,,,,,,,,,,,Unknown,Point,38.959658721,-76.917730254
,RD01330013,,,,,,,,,,,,,,,Unknown,Point,38.965734275,-76.938657550
,RD01330012,,,,,,,,,,,,,,,Unknown,Point,38.962807153,-76.936334137
,RD01310059,,,,,,,,,,,,,,,Unknown,Point,38.962906928,-76.930835169
,RD01300051,,,,,,,,,,,,,,,Unknown,Point,38.964667407,-76.939035074
,RD01300050,,,,,,,,,,,,,,,Unknown,Point,38.971814096,-76.915588594
,RD01270075,,,,,,,,,,,,,,,Unknown,Point,38.962482046,-76.939359023
,RD01270074,,,,,,,,,,,,,,,Unknown,Point,38.964543252,-76.939030868
,RD01270073,,,,,,,,,,,,,,,Unknown,Point,38.969578025,-76.916737013
,RD01270072,,,,,,,,,,,,,,,Unknown,Point,38.960370738,-76.919810903
,RD01270071,,,,,,,,,,,,,,,Unknown,Point,38.960036672,-76.917678020
,RD01270070,,,,,,,,,,,,,,,Unknown,Point,38.963327361,-76.932806169
,RD01260048,,,,,,,,,,,,,,,Unknown,Point,38.960669759,-76.921055806
,RD01260047,,,,,,,,,,,,,,,Unknown,Point,38.959480442,-76.939778298
,RD01260046,,,,,,,,,,,,,,,Unknown,Point,38.969061839,-76.937342188
,RD01260045,,,,,,,,,,,,,,,Unknown,Point,38.942706095,-76.934575486
,RD01260044,,,,,,,,,,,,,,,Unknown,Point,38.964334620,-76.939571799
,RD01260042,,,,,,,,,,,,,,,Unknown,Point,38.960138946,-76.917646752
,RD01240059,,,,,,,,,,,,,,,Unknown,Point,38.963182970,-76.939431858
,RD01240057,,,,,,,,,,,,,,,Unknown,Point,38.968576007,-76.938464948
,RD01240056,,,,,,,,,,,,,,,Unknown,Point,38.959345438,-76.917882994
,RD01190041,,,,,,,,,,,,,,,Unknown,Point,38.953066067,-76.923948005
,RD0136000K,,,,,,,,,,,,,,,Unknown,Point,38.963115864,-76.939302218
,RD0136000J,,,,,,,,,,,,,,,Unknown,Point,38.970349712,-76.909602392
,RD0136000H,,,,,,,,,,,,,,,Unknown,Point,38.965543380,-76.938918659
,RD0136000G,,,,,,,,,,,,,,,Unknown,Point,38.961570417,-76.939469891
,RD0135000L,,,,,,,,,,,,,,,Unknown,Point,38.962878586,-76.930897582
,RD0135000J,,,,,,,,,,,,,,,Unknown,Point,38.962331560,-76.939408392
,RD0135000H,,,,,,,,,,,,,,,Unknown,Point,38.958931466,-76.920107851
,RD0135000G,,,,,,,,,,,,,,,Unknown,Point,38.960372140,-76.919853751
,RD0135000F,,,,,,,,,,,,,,,Unknown,Point,38.964589696,-76.939018800
,RD0135000D,,,,,,,,,,,,,,,Unknown,Point,38.957859417,-76.918741292
,RD0135000C,,,,,,,,,,,,,,,Unknown,Point,38.960937208,-76.922349226
,RD0135000B,,,,,,,,,,,,,,,Unknown,Point,38.963437254,-76.933895894
,RD0134000Z,,,,,,,,,,,,,,,Unknown,Point,38.963770406,-76.920102793
,RD0134000Y,,,,,,,,,,,,,,,Unknown,Point,38.959067689,-76.919190615
,RD0134000X,,,,,,,,,,,,,,,Unknown,Point,38.964165606,-76.939176722
,RD0134000W,,,,,,,,,,,,,,,Unknown,Point,38.960168628,-76.917682774
,RD0133001H,,,,,,,,,,,,,,,Unknown,Point,38.964073571,-76.939512556
,RD0133001G,,,,,,,,,,,,,,,Unknown,Point,38.960373542,-76.919836014
,RD0133001D,,,,,,,,,,,,,,,Unknown,Point,38.961142609,-76.929314101
,RD0133001C,,,,,,,,,,,,,,,Unknown,Point,38.958866188,-76.920190743
,RD0133001B,,,,,,,,,,,,,,,Unknown,Point,38.960359767,-76.919846620
,RD0131005C,,,,,,,,,,,,,,,Unknown,Point,38.964633092,-76.939043668
,RD0131005B,,,,,,,,,,,,,,,Unknown,Point,38.964527832,-76.939083529
,RD0130004Z,,,,,,,,,,,,,,,Unknown,Point,38.959544866,-76.939527854
,RD0130004Y,,,,,,,,,,,,,,,Unknown,Point,38.955301773,-76.923080808
,RD0130004X,,,,,,,,,,,,,,,Unknown,Point,38.957382727,-76.931289917
,RD0130004W,,,,,,,,,,,,,,,Unknown,Point,38.959235362,-76.939408332
,RD0130004V,,,,,,,,,,,,,,,Unknown,Point,38.952849512,-76.923889432
,RD0130004S,,,,,,,,,,,,,,,Unknown,Point,38.959381094,-76.919663099
,RD0130004R,,,,,,,,,,,,,,,Unknown,Point,38.964081617,-76.938329761
,RD0130004Q,,,,,,,,,,,,,,,Unknown,Point,38.960378784,-76.919219749
,RD0130004P,,,,,,,,,,,,,,,Unknown,Point,38.962520688,-76.929127838
,RD0130004N,,,,,,,,,,,,,,,Unknown,Point,38.958191960,-76.921345441
,RD0130004M,,,,,,,,,,,,,,,Unknown,Point,38.964704221,-76.939505303
,RD0130004L,,,,,,,,,,,,,,,Unknown,Point,38.956673147,-76.931602468
,RD0130004K,,,,,,,,,,,,,,,Unknown,Point,38.959170633,-76.918579409
,RD0130004J,,,,,,,,,,,,,,,Unknown,Point,38.961335150,-76.923704266
