Type NM Description,PersonID NM,ReportNumber NM,ActionPriorToCrash NM,ActionPriorToCrash NM Description,Age NM,City NM,ContactPoint NM,ContactPoint NM Description,DistractedByAction NM,DistractedByAction NM Description,DistractedBySource,DistractedBySource Description,Gender NM,IncidentResponder NM,IncidentResponder NM Description,InjuryStatus NM,InjuryStatus NM Description,Location NM,Location NM Description,OriginDestination NM,OriginDestination NM Description,State NM,StruckByVehID NM,Type NM,Unknown NM,ZipCode NM
Cyclist (non-electric),ebbd3c7c-cd77-49da-873b-cada6a4576e5,AA0073002X,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),19,ABERDEEN,03,Right,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,02,Transit,MD,13a105ad-040f-43c8-979f-b8d05d497f3f,101,N,21001
Pedestrian,bef84824-8980-483e-a8fa-85037292daae,AA0073003H,98,Other,57,EDGEWOOD,12,Front,00,Not Distracted,,,F,01,No,03,Suspected Minor Injury,98,Other,97,Not Applicable,MD,619dc5f9-4e02-4e2d-8a3c-fb24a2cfd35a,06,N,21009
Pedestrian,1a8f99d7-1ef8-4711-b94d-82077f3d1621,AA00850047,101,Cross/Enter Not at Intersection,47,ABERDEEN,03,Right,99,Unknown,99,Unknown,M,01,No,01,Fatal Injury,07,Travel Lane – Other Location,97,Not Applicable,MD,21812834-6dd1-4026-aeb2-cdab9b734017,06,N,21001
Cyclist (Electric),4918bb20-61cf-4d08-a1c9-6f700bbc195b,AA0085004K,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),32,ABERDEEN,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,03,Intersection – Other,97,Not Applicable,MD,b8de8cc1-3e29-45c4-b166-87bd782b39be,100,N,21001
Pedestrian,7957d0d1-8da9-42da-bd6f-5b5e815bfd7f,AA01230052,100,Cross/Enter at Intersection,48,ABERDEEN,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,cfd16d36-8693-42ef-8825-7eb8356b08ba,06,N,21001
Pedestrian,5c1cbc84-e60d-4ac0-8670-d6d9f854f473,AA01230053,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),37,BALTIMORE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,06,Shoulder/Roadside,97,Not Applicable,MD,dd7b1b00-1450-4a84-b91b-9855c05f8e9d,06,N,21202
Cyclist (non-electric),d541540f-0fba-4a89-8523-97a78b1b811f,AA0149002V,07,Walking/Cycling on Sidewalk,55,ABERDEEN,99,Unknown,03,"Other Action (looking away from task, etc.)",05,Passenger/Other Non-Motorist,M,01,No,05,No Apparent Injury,14,Driveway Access,02,Transit,MD,6d4768cd-6f05-44fa-bb2d-a03b5d2da0e6,101,N,21001
Cyclist (Electric),1479af92-c1a3-4ef9-acc3-2b09cbc36b79,AA0149003H,101,Cross/Enter Not at Intersection,36,BEL AIR,03,Right,00,Not Distracted,,,M,02,EMS,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,02,Transit,MD,155c659e-084c-453f-853f-590393d710b7,100,N,21015
Pedestrian,f895e784-b349-4e9c-958a-0ad50e82a7f6,AA0149003J,00,None,32,ABERDEEN,09,Left,00,Not Distracted,,,F,01,No,04,Possible Injury,01,Intersection – Marked Crosswalk,02,Transit,MD,3c28d5b0-7703-4753-a1d5-56edbc777c41,06,N,21001
Pedestrian,1e598fd4-0c0e-476b-97b6-5cf9ae2b4b27,AA0150003H,100,Cross/Enter at Intersection,67,ABERDEEN,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,02,Intersection – Unmarked Crosswalk,97,Not Applicable,MD,9121cb93-22cc-4e85-9cd8-71e380891643,06,N,21001
Pedestrian,0617e87c-aaaf-46b4-b3e8-ab003b574db2,AA0150003T,05,Walking/Cycling Along Roadway Against Traffic (In or Adjacent to Travel Lane),44,ABERDEEN,09,Left,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,06,Shoulder/Roadside,99,Unknown,MD,0b088481-c1a8-4ce5-bf3e-c41557262d6b,06,N,21001
Pedestrian,40965556-13fe-416c-83f2-a6410c1bf998,AA0153002T,101,Cross/Enter Not at Intersection,38,EDGEWOOD,03,Right,99,Unknown,99,Unknown,M,01,No,02,Suspected Serious Injury,06,Shoulder/Roadside,02,Transit,MD,e0079b79-7f63-4b7a-a597-b66fb61103fe,06,N,21040
Pedestrian,e49ed274-0cb5-40de-afbd-611e3bea0653,AA0156003D,100,Cross/Enter at Intersection,19,FOREST HILL,09,Left,99,Unknown,99,Unknown,F,01,No,02,Suspected Serious Injury,01,Intersection – Marked Crosswalk,99,Unknown,MD,372679cf-97cd-40f1-a1a0-ed487e55c67d,06,N,21050
Pedestrian,d642a21a-d348-4f31-bd0f-71b2d99e1fb8,AA0156003Y,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),72,PIKESVILLE,06,Rear,03,"Other Action (looking away from task, etc.)",06,External (to vehicle/non-motorist area),M,01,No,01,Fatal Injury,06,Shoulder/Roadside,02,Transit,MD,8f974c37-5d09-4d2f-9b17-d7c88cf141d2,06,N,21208
Pedestrian,c95e8113-9736-41ad-b5ef-0fb57fbd4a4d,AA01570022,101,Cross/Enter Not at Intersection,19,ABERDEEN,03,Right,00,Not Distracted,,,M,01,No,04,Possible Injury,03,Intersection – Other,97,Not Applicable,MD,a0ef5ccf-02c8-425b-8f10-83a4577e7f70,06,N,21001
Cyclist (non-electric),b1f58d4f-9ece-4f2d-a65a-c3f318a91b78,AA01740001,06,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),24,ABERDEEN,06,Rear,99,Unknown,99,Unknown,M,06,Transportation,03,Suspected Minor Injury,07,Travel Lane – Other Location,02,Transit,MD,04e56324-8586-4edc-bd88-77345b6ac89c,101,N,21001
Pedestrian,8bcd2f21-3c74-4d5b-8dc0-423139c75d0b,AA01760003,100,Cross/Enter at Intersection,21,ABERDEEN,03,Right,99,Unknown,99,Unknown,F,01,No,03,Suspected Minor Injury,03,Intersection – Other,02,Transit,MD,7308c766-37a9-42ab-91b5-595969b26c64,06,N,21001
Cyclist (non-electric),d922a44a-75a7-424f-af5d-6b5c4e53dafe,AA01780008,100,Cross/Enter at Intersection,26,CHURCHVILLE,09,Left,00,Not Distracted,,,M,01,No,03,Suspected Minor Injury,01,Intersection – Marked Crosswalk,97,Not Applicable,MD,e5da765b-a989-46e7-9d94-a076f74389a7,101,N,21028
