ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
Baltimore Ave,Bar,Yes,164.041666666666657,95,1209.181331352777988,114553.351531226042425,12.769230769230770,6.379052256590135,,13,Injury Crashes,Property Damage Crashes,7.692307692307693,92.307692307692307,95
Baltimore Ave & Cherry Hill Rd,Bar,Yes,164.041666666666657,74,1184.988758017142572,110280.569459097430808,14.181818181818182,6.493353244944893,57.000000000000000,11,Injury Crashes,Property Damage Crashes,36.363636363636367,63.636363636363633,74
Rhode Island Ave & University Blvd,Zebra Stripe,Yes,164.041666666666657,45,1131.559212080201178,101430.532507999538211,17.300000000000001,4.498147766951785,,10,Injury Crashes,Property Damage Crashes,10.000000000000000,90.000000000000000,45
Greenbelt Rd & Baltimore Ave,Zebra Stripe,No,164.041666666666657,54,1089.436441847186416,94349.998033141077030,13.111111111111111,8.666666666666666,,9,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,54
SB Cap Belt Hwy & Baltimore Ave,Zebra Stripe,No,164.041666666666657,76,1124.094318095152175,100184.353054487000918,12.555555555555555,7.401201103724839,,9,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,76
Baltimore Ave & Berwyn House Rd,Zebra Stripe,Yes,164.041666666666657,153,1164.188073150128730,106952.697194121792563,15.111111111111111,5.301991240195622,22.333333333333332,9,Injury Crashes,Property Damage Crashes,44.444444444444443,55.555555555555557,153
NB Cap Belt Hwy & Baltimore Ave,Bar,No,164.041666666666657,61,1080.007554671939943,92737.253044606346521,13.250000000000000,5.725881092523166,,8,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,61
University Blvd & Rhode Island Ave,Zebra Stripe,Yes,164.041666666666657,47,1264.206317290594825,123841.493464376602788,17.000000000000000,4.864839839775475,,7,Injury Crashes,Property Damage Crashes,14.285714285714285,85.714285714285708,47
Baltimore Ave & SB Cap Belt Hwy,Bar,Yes,164.041666666666657,75,1265.201389453378852,123746.580294207931729,17.428571428571427,4.314979445958881,,7,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,75
,,,164.041666666666657,127,1081.681685182417823,93024.805242757822271,13.285714285714286,7.364651739090942,,7,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,127
Baltimore Ave,Zebra Stripe,No,164.041666666666657,97,1086.359258547082163,93809.935476148311864,15.166666666666666,5.741660619251774,,6,Injury Crashes,Property Damage Crashes,33.333333333333329,66.666666666666657,97
,,,164.041666666666657,157,1082.861937109717928,93211.581885320876609,18.166666666666668,3.920034013457877,,6,Injury Crashes,Property Damage Crashes,33.333333333333329,66.666666666666657,157
Baltimore Ave & Campus Dr,Zebra Stripe,Yes,164.041666666666657,170,1176.478042250118278,109034.856562667278922,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.333333333333343,170
Cherokee St & Baltimore Ave,Zebra Stripe,Yes,164.041666666666657,64,1144.638837274740808,103626.449993134709075,17.000000000000000,2.645751311064591,,5,Injury Crashes,Property Damage Crashes,40.000000000000000,60.000000000000000,64
Baltimore Ave & Guilford Dr,Zebra Stripe,Yes,164.041666666666657,203,1185.652820219528849,110646.990666609359323,14.800000000000001,2.588435821108957,,5,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,203
Rhode Island Ave & Niagara Rd,Zebra Stripe,No,164.041666666666657,5,1091.027320664851004,94559.953855930216378,11.500000000000000,9.574271077563381,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,5
Rhode Island Ave & Fox St,Piano Key,RRFB,164.041666666666657,36,1127.852943545501603,100805.355969856114825,16.000000000000000,1.414213562373095,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,36
,,,164.041666666666657,81,1182.770079916597751,110107.186383060543449,17.750000000000000,3.500000000000000,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,81
,,,164.041666666666657,143,1244.655609883905527,120341.042830667487578,7.500000000000000,9.949874371066199,,4,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,143
Baltimore Ave & Melbourne Pl,Bar,Yes,164.041666666666657,160,1156.815351008627886,105682.206029344291892,15.250000000000000,4.349329450233296,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,160
Melbourne Pl & Baltimore Ave,Bar,Yes,164.041666666666657,161,1124.339313971585852,100260.442001923773205,16.750000000000000,4.349329450233296,,4,Injury Crashes,Property Damage Crashes,25.000000000000000,75.000000000000000,161
,,,164.041666666666657,60,1087.644732038215807,94020.733832712750882,9.333333333333334,5.507570547286102,,3,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,60
,,,164.041666666666657,148,1144.565955348778743,103724.742106915044133,19.333333333333332,1.527525231651947,,3,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,148
Berwyn Rd & Baltimore Ave,Zebra Stripe,Yes,164.041666666666657,150,1127.371129855257095,100706.073572691791924,11.666666666666666,1.527525231651947,25.000000000000000,3,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,150
,,,164.041666666666657,151,1114.180767850835309,98480.512187546279165,17.000000000000000,6.000000000000000,23.000000000000000,3,Injury Crashes,Injury Crashes,100.000000000000000,100.000000000000000,151
Lehigh Rd & Baltimore Ave,Piano Key,No,164.041666666666657,190,1117.540009977310092,99092.479670641114353,10.333333333333334,5.033222956847166,,3,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,190
,,,164.041666666666657,261,1118.338149316321278,99225.997994124525576,12.000000000000000,4.358898943540674,,3,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,261
Rhode Island Ave & Edgewood Rd,Bar,Yes,164.041666666666657,1,1189.574437120010316,111197.643646255091880,16.000000000000000,1.414213562373095,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,1
Rhode Island Ave & Hollywood Rd,Piano Key,RRFB,164.041666666666657,35,1119.162299690792906,99292.489410741065512,8.000000000000000,11.313708498984761,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,35
Rhode Island Ave & Apache St,Zebra Stripe,No,164.041666666666657,38,1073.146709883108315,91582.103562609496294,17.000000000000000,2.828427124746190,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,38
Greenbelt Rd & Rhode Island Ave,Zebra Stripe,No,164.041666666666657,43,1205.833116803082930,114051.172113959124545,11.000000000000000,8.485281374238570,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.000000000000000,50.000000000000000,43
,,,164.041666666666657,50,1108.520219227803409,97576.316671611901256,10.000000000000000,11.313708498984761,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,50
University Blvd & Baltimore Ave,Bar,No,164.041666666666657,58,1081.384159899991801,92968.048509685046156,14.500000000000000,9.192388155425117,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,58
Baltimore Ave & Fox St,Bar,Yes,164.041666666666657,69,1150.082523124006002,104565.965623636002420,16.000000000000000,0,48.000000000000000,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.000000000000000,50.000000000000000,69
Baltimore Ave & Hollywood Rd,Bar,Yes,164.041666666666657,73,1146.048334206548361,103879.279913249891251,13.500000000000000,2.121320343559642,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,73
,,,164.041666666666657,77,1173.485484139234813,108567.728712040552637,20.500000000000000,3.535533905932738,,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.000000000000000,50.000000000000000,77
,,,164.041666666666657,89,1265.139869151254743,123865.419905198068591,15.500000000000000,2.121320343559642,22.000000000000000,2,Injury Crashes;Property Damage Crashes,Injury Crashes;Property Damage Crashes,50.000000000000000,50.000000000000000,89
,,,164.041666666666657,116,1096.911262994990238,95560.570304586261045,18.000000000000000,0,,2,Property Damage Crashes,Property Damage Crashes,100.000000000000000,100.000000000000000,116
