,ADDRESS,TYPE,WALK_LIGHT,BUFF_DIST,ORIG_FID,Shape_Length,Shape_Area,mean_Crashhour,std_Crashhour,mean_Age_NM,Point_Count,Minority_Crash_Severity_Description,Majority_Crash_Severity_Description,Minority_Crash_Severity_Description_Percent,Majority_Crash_Severity_Description_Percent,Join_ID
92,Ikea Way & Baltimore Ave,Bar,Yes,164.04166666666663,93,1112.8088131247603,98258.13184821424,12.76923076923077,6.379052256590135,,13,Injury Crashes,Property Damage Crashes,7.692307692307693,92.3076923076923,93
93,Ikea Way & Baltimore Ave,Bar,Yes,164.04166666666663,94,1152.6556822909115,104954.43044746396,12.76923076923077,6.379052256590135,,13,Injury Crashes,Property Damage Crashes,7.692307692307693,92.3076923076923,94
94,Baltimore Ave,Bar,Yes,164.04166666666663,95,1209.181331352778,114553.35153122604,12.76923076923077,6.379052256590135,,13,Injury Crashes,Property Damage Crashes,7.692307692307693,92.3076923076923,95
97,Baltimore Ave,Zebra Stripe,No,164.04166666666663,98,1090.6916965265816,94541.2560205211,13.923076923076923,6.143581182306436,,13,Injury Crashes,Property Damage Crashes,15.384615384615383,84.61538461538461,98
95,Baltimore Ave,Bar,Yes,164.04166666666663,96,1200.4833614406118,113058.51646414354,13.583333333333334,5.915439480074514,,12,Injury Crashes,Property Damage Crashes,8.333333333333332,91.66666666666664,96
73,Baltimore Ave & Cherry Hill Rd,Bar,Yes,164.04166666666663,74,1184.9887580171423,110280.56945909745,14.181818181818182,6.493353244944893,57.0,11,Injury Crashes,Property Damage Crashes,36.36363636363637,63.63636363636363,74
43,University Blvd & Rhode Island Ave,Zebra Stripe,Yes,164.04166666666663,44,1205.0078820070855,113817.94007134344,17.3,4.498147766951785,,10,Injury Crashes,Property Damage Crashes,10.0,90.0,44
44,Rhode Island Ave & University Blvd,Zebra Stripe,Yes,164.04166666666663,45,1131.5592120802012,101430.53250799952,17.3,4.498147766951785,,10,Injury Crashes,Property Damage Crashes,10.0,90.0,45
75,SB Cap Belt Hwy & Baltimore Ave,Zebra Stripe,No,164.04166666666663,76,1124.094318095152,100184.353054487,12.555555555555555,7.401201103724839,,9,Property Damage Crashes,Property Damage Crashes,100.0,100.0,76
54,,,,164.04166666666663,55,1138.6204393369276,102688.86311962636,13.111111111111112,8.666666666666666,,9,Property Damage Crashes,Property Damage Crashes,100.0,100.0,55
53,Greenbelt Rd & Baltimore Ave,Zebra Stripe,No,164.04166666666663,54,1089.4364418471864,94349.99803314109,13.111111111111112,8.666666666666666,,9,Property Damage Crashes,Property Damage Crashes,100.0,100.0,54
151,Berwyn House Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,152,1147.9715397728796,104153.9868800053,15.111111111111112,5.301991240195622,22.33333333333333,9,Injury Crashes,Property Damage Crashes,44.44444444444444,55.55555555555556,152
152,Baltimore Ave & Berwyn House Rd,Zebra Stripe,Yes,164.04166666666663,153,1164.1880731501287,106952.6971941218,15.111111111111112,5.301991240195622,22.33333333333333,9,Injury Crashes,Property Damage Crashes,44.44444444444444,55.55555555555556,153
55,Baltimore Ave & Greenbelt Rd,Zebra Stripe,Yes,164.04166666666663,56,1156.038531248766,105561.20493791589,12.75,9.192388155425116,,8,Property Damage Crashes,Property Damage Crashes,100.0,100.0,56
45,Rhode Island Ave & University Blvd,Zebra Stripe,Yes,164.04166666666663,46,1112.8148960207984,98274.27699951569,17.5,4.720774754816659,,8,Injury Crashes,Property Damage Crashes,12.5,87.5,46
60,NB Cap Belt Hwy & Baltimore Ave,Bar,No,164.04166666666663,61,1080.00755467194,92737.25304460633,13.25,5.725881092523166,,8,Property Damage Crashes,Property Damage Crashes,100.0,100.0,61
47,Rhode Island Ave & University Blvd,Zebra Stripe,Yes,164.04166666666663,48,1235.0254031324291,118876.61380689236,17.5,4.720774754816659,,8,Injury Crashes,Property Damage Crashes,12.5,87.5,48
56,,,,164.04166666666663,57,1128.9040472750407,101042.56665455025,12.75,9.192388155425116,,8,Property Damage Crashes,Property Damage Crashes,100.0,100.0,57
154,Baltimore Ave & Berwyn House Rd,Zebra Stripe,Yes,164.04166666666663,155,1174.3222319119711,108659.3419332334,16.285714285714285,4.990467102863408,22.33333333333333,7,Property Damage Crashes,Injury Crashes,42.85714285714285,57.14285714285714,155
74,Baltimore Ave & SB Cap Belt Hwy,Bar,Yes,164.04166666666663,75,1265.2013894533789,123746.58029420792,17.428571428571427,4.314979445958881,,7,Property Damage Crashes,Property Damage Crashes,100.0,100.0,75
153,Berwyn House Rd & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,154,1141.180937339754,103084.1172679304,15.142857142857142,4.017817460121496,23.5,7,Injury Crashes,Property Damage Crashes,42.85714285714285,57.14285714285714,154
125,,,,164.04166666666663,126,1130.8539554211893,101306.11316103552,13.285714285714286,7.364651739090943,,7,Property Damage Crashes,Property Damage Crashes,100.0,100.0,126
126,,,,164.04166666666663,127,1081.6816851824178,93024.80524275782,13.285714285714286,7.364651739090942,,7,Property Damage Crashes,Property Damage Crashes,100.0,100.0,127
46,University Blvd & Rhode Island Ave,Zebra Stripe,Yes,164.04166666666663,47,1264.2063172905948,123841.4934643766,17.0,4.864839839775475,,7,Injury Crashes,Property Damage Crashes,14.285714285714285,85.7142857142857,47
164,Campus Dr & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,165,1120.1254412371222,99516.66617151567,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,165
165,Campus Dr & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,166,1160.8990104629927,106422.3223595814,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,166
166,Baltimore Ave & Campus Dr,Zebra Stripe,Yes,164.04166666666663,167,1286.616200900796,127610.79664406677,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,167
61,Cherokee St & Baltimore Ave,Bar,No,164.04166666666663,62,1113.792862330473,98456.7402564303,15.0,6.164414002968976,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,62
167,Campus Dr & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,168,1302.9729128179567,130427.98422702245,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,168
168,Baltimore Ave & Campus Dr,Zebra Stripe,Yes,164.04166666666663,169,1136.6476420474787,102314.0906130664,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,169
96,Baltimore Ave,Zebra Stripe,No,164.04166666666663,97,1086.359258547082,93809.93547614833,15.166666666666666,5.741660619251774,,6,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,97
156,,,,164.04166666666663,157,1082.861937109718,93211.58188532088,18.166666666666668,3.920034013457877,,6,Injury Crashes,Property Damage Crashes,33.33333333333333,66.66666666666666,157
124,,,,164.04166666666663,125,1166.9730016044905,107403.65772843624,12.333333333333334,7.580677190506576,,6,Property Damage Crashes,Property Damage Crashes,100.0,100.0,125
48,University Blvd & Rhode Island Ave,Zebra Stripe,Yes,164.04166666666663,49,1094.2082964860708,95130.99698053507,18.666666666666668,2.250925735484551,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,49
169,Baltimore Ave & Campus Dr,Zebra Stripe,Yes,164.04166666666663,170,1176.4780422501183,109034.85656266728,14.666666666666666,4.589843860815601,,6,Injury Crashes,Property Damage Crashes,16.666666666666664,83.33333333333334,170
200,Guilford Dr & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,201,1205.136865975926,113976.19472024887,14.8,2.588435821108957,,5,Property Damage Crashes,Property Damage Crashes,100.0,100.0,201
62,Baltimore Ave & Cherokee St,Bar,Yes,164.04166666666663,63,1171.4348956172933,108359.62669460928,17.0,2.645751311064591,,5,Injury Crashes,Property Damage Crashes,40.0,60.0,63
63,Cherokee St & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,64,1144.6388372747408,103626.4499931347,17.0,2.645751311064591,,5,Injury Crashes,Property Damage Crashes,40.0,60.0,64
202,Baltimore Ave & Guilford Dr,Zebra Stripe,Yes,164.04166666666663,203,1185.6528202195288,110646.99066660936,14.8,2.588435821108957,,5,Property Damage Crashes,Property Damage Crashes,100.0,100.0,203
203,Guilford Dr & Baltimore Ave,Zebra Stripe,Yes,164.04166666666663,204,1133.9904365638629,101874.95172901194,14.8,2.588435821108957,,5,Property Damage Crashes,Property Damage Crashes,100.0,100.0,204
142,,,,164.04166666666663,143,1244.6556098839055,120341.04283066747,7.5,9.9498743710662,,4,Property Damage Crashes,Property Damage Crashes,100.0,100.0,143
78,,,,164.04166666666663,79,1115.054141400706,98651.45616103295,17.75,3.5,,4,Injury Crashes,Property Damage Crashes,25.0,75.0,79
4,Rhode Island Ave & Niagara Rd,Zebra Stripe,No,164.04166666666663,5,1091.027320664851,94559.9538559302,11.5,9.57427107756338,,4,Injury Crashes,Property Damage Crashes,25.0,75.0,5
80,,,,164.04166666666663,81,1182.7700799165975,110107.18638306054,17.75,3.5,,4,Injury Crashes,Property Damage Crashes,25.0,75.0,81
